time_start,time_end,scenario_id,ue_total,attackers,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,flow_duration,total_bytes_fwd,total_bytes_bwd,total_pkts_fwd,total_pkts_bwd,pkts_per_sec,bytes_per_sec,flow_pkts_per_sec,flow_bytes_per_sec,jitter_ms,delay_ms,label_binary,label_intensity
16,17,50_static_udp_ddos_high_r5,50,5,10.1.1.50,10.1.1.41,49153,1040,17,1052,1,7012632,0,6666,0,6666,7.01263e+06,6666,7.01263e+06,0,0,1,3
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.1,10.1.1.32,49153,1031,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.3,10.1.1.41,49153,1040,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.4,10.1.1.11,49153,1010,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.6,10.1.1.11,49153,1010,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.8,10.1.1.21,49153,1020,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.20,10.1.1.41,49153,1040,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.23,10.1.1.11,49153,1010,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.26,10.1.1.11,49153,1010,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.27,10.1.1.49,49153,1048,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.28,10.1.1.41,49153,1040,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.35,10.1.1.32,49153,1031,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.38,10.1.1.49,49153,1048,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.42,10.1.1.32,49153,1031,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.43,10.1.1.49,49153,1048,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.45,10.1.1.32,49153,1031,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,1,3
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.46,10.1.1.32,49153,1031,17,1052,1,7013684,0,6667,0,6667,7.01368e+06,6667,7.01368e+06,0,0,1,3
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.47,10.1.1.32,49153,1031,17,1052,1,7013684,0,6667,0,6667,7.01368e+06,6667,7.01368e+06,0,0,1,3
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.48,10.1.1.41,49153,1040,17,1052,1,7013684,0,6667,0,6667,7.01368e+06,6667,7.01368e+06,0,0,1,3
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.49,10.1.1.49,49153,1048,17,1052,1,14027368,0,13334,0,13334,1.40274e+07,13334,1.40274e+07,0,0,1,3
17,18,50_static_udp_ddos_high_r5,50,5,10.1.1.50,10.1.1.41,49153,1040,17,1052,1,7013684,0,6667,0,6667,7.01368e+06,6667,7.01368e+06,0,0,1,3
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.1,10.1.1.32,49153,1031,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.3,10.1.1.41,49153,1040,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.4,10.1.1.11,49153,1010,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.6,10.1.1.11,49153,1010,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.8,10.1.1.21,49153,1020,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.20,10.1.1.41,49153,1040,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.23,10.1.1.11,49153,1010,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.26,10.1.1.11,49153,1010,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.27,10.1.1.49,49153,1048,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.28,10.1.1.41,49153,1040,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.35,10.1.1.32,49153,1031,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.38,10.1.1.49,49153,1048,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.42,10.1.1.32,49153,1031,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.43,10.1.1.49,49153,1048,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.45,10.1.1.32,49153,1031,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,1,3
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.46,10.1.1.32,49153,1031,17,1052,1,7013684,0,6667,0,6667,7.01368e+06,6667,7.01368e+06,0,0,1,3
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.47,10.1.1.32,49153,1031,17,1052,1,7013684,0,6667,0,6667,7.01368e+06,6667,7.01368e+06,0,0,1,3
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.48,10.1.1.41,49153,1040,17,1052,1,7013684,0,6667,0,6667,7.01368e+06,6667,7.01368e+06,0,0,1,3
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.49,10.1.1.49,49153,1048,17,1052,1,14027368,0,13334,0,13334,1.40274e+07,13334,1.40274e+07,0,0,1,3
18,19,50_static_udp_ddos_high_r5,50,5,10.1.1.50,10.1.1.41,49153,1040,17,1052,1,7013684,0,6667,0,6667,7.01368e+06,6667,7.01368e+06,0,0,1,3
